,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
ch1,1.0,0.3525953430802887,0.7795557667547685,0.575047293852208,0.3237571516924487,0.2979911973668265,0.42104398870948856,0.8947841559247205,0.6779681607358704,0.27393408051368806,0.30525927592461255,0.4725361515587166,0.8297248914071259,0.4203289824633598,0.7718733562429261,0.4186899551554246
ch2,0.3525953430802887,1.0,0.3220312898979564,0.535753728930422,0.04516679321898243,0.41632491224052964,0.28485910295172573,0.29351076509562724,0.3391763246572473,0.489065106499474,0.4720549410903212,0.18907818361002648,0.25309548809597765,0.18472953270281642,0.23710861645869644,0.609668776743865
ch3,0.7795557667547685,0.3220312898979564,1.0,0.4334750258328125,0.4756338795009164,0.32154004519026774,0.3332903623254199,0.8775398478994557,0.5499099136766055,0.40689410853872515,0.20974856482678608,0.4949398379834081,0.8357208804864947,0.4337418842275852,0.651343474035545,0.26984915931173914
ch4,0.575047293852208,0.535753728930422,0.4334750258328125,1.0,0.22004795188688608,0.26592808920852057,0.7039571657800889,0.49759706261972475,0.350346712984867,0.19203777048770432,0.5160506000762167,0.24680607848492395,0.5042239840984722,0.15216001961459683,0.38563500182530863,0.7549409396681974
ch5,0.3237571516924487,0.04516679321898243,0.4756338795009164,0.22004795188688608,1.0,0.2962444285484517,0.30644263335022137,0.38191399282783267,0.2818920416422673,0.296290118608007,0.09570863185224003,0.6594546538116088,0.48507741205861354,0.14443678059981663,0.3490173422742683,0.17244764160523132
ch6,0.2979911973668265,0.41632491224052964,0.32154004519026774,0.26592808920852057,0.2962444285484517,1.0,0.2623176787222502,0.36047228026328965,0.28436138293593527,0.19833957428170662,0.2386177963663647,0.25414722486546976,0.4155930570031521,0.39278019183383833,0.3568597569314793,0.2143887362756261
ch7,0.42104398870948856,0.28485910295172573,0.3332903623254199,0.7039571657800889,0.30644263335022137,0.2623176787222502,1.0,0.37656246466997684,0.2958392363327719,0.13220014058877969,0.5579446375383148,0.25767921277925443,0.39038016614237614,0.22201629360237068,0.31446335042491835,0.5294632859944267
ch8,0.8947841559247205,0.29351076509562724,0.8775398478994557,0.49759706261972475,0.38191399282783267,0.36047228026328965,0.37656246466997684,1.0,0.6128413323173232,0.322229808749137,0.24336202271018947,0.5437842684859566,0.9278043505608545,0.4104001438523431,0.730309879021906,0.28226931653867604
ch9,0.6779681607358704,0.3391763246572473,0.5499099136766055,0.350346712984867,0.2818920416422673,0.28436138293593527,0.2958392363327719,0.6128413323173232,1.0,0.5830532314144842,0.47858439574849604,0.3753790485466527,0.5832507490473117,0.3819686231334972,0.8771370733225867,0.41183851590650794
ch10,0.27393408051368806,0.489065106499474,0.40689410853872515,0.19203777048770432,0.296290118608007,0.19833957428170662,0.13220014058877969,0.322229808749137,0.5830532314144842,1.0,0.4562280470298445,0.2783391628095606,0.3303081401962272,0.17047534987626986,0.3729622209581742,0.2122286383868023
ch11,0.30525927592461255,0.4720549410903212,0.20974856482678608,0.5160506000762167,0.09570863185224003,0.2386177963663647,0.5579446375383148,0.24336202271018947,0.47858439574849604,0.4562280470298445,1.0,0.12835321604311623,0.22496169813356223,0.13044199064798873,0.3440619180743444,0.5855414186538564
ch12,0.4725361515587166,0.18907818361002648,0.4949398379834081,0.24680607848492395,0.6594546538116088,0.25414722486546976,0.25767921277925443,0.5437842684859566,0.3753790485466527,0.2783391628095606,0.12835321604311623,1.0,0.5026400243626389,0.18320725418362455,0.443387558608298,0.1843215617302956
ch13,0.8297248914071259,0.25309548809597765,0.8357208804864947,0.5042239840984722,0.48507741205861354,0.4155930570031521,0.39038016614237614,0.9278043505608545,0.5832507490473117,0.3303081401962272,0.22496169813356223,0.5026400243626389,1.0,0.4408294977284385,0.6944762721710122,0.2916907292589968
ch14,0.4203289824633598,0.18472953270281642,0.4337418842275852,0.15216001961459683,0.14443678059981663,0.39278019183383833,0.22201629360237068,0.4104001438523431,0.3819686231334972,0.17047534987626986,0.13044199064798873,0.18320725418362455,0.4408294977284385,1.0,0.4710459264728638,0.1512415552865763
ch15,0.7718733562429261,0.23710861645869644,0.651343474035545,0.38563500182530863,0.3490173422742683,0.3568597569314793,0.31446335042491835,0.730309879021906,0.8771370733225867,0.3729622209581742,0.3440619180743444,0.443387558608298,0.6944762721710122,0.4710459264728638,1.0,0.40057898496390737
ch16,0.4186899551554246,0.609668776743865,0.26984915931173914,0.7549409396681974,0.17244764160523132,0.2143887362756261,0.5294632859944267,0.28226931653867604,0.41183851590650794,0.2122286383868023,0.5855414186538564,0.1843215617302956,0.2916907292589968,0.1512415552865763,0.40057898496390737,1.0
